Cities,ST,Adjust,Validate
Bakersfield,CA,2,1/1/16
Calabasas,CA,4,1/1/16
Chico,CA,6,1/1/16
Culver City,CA,8,1/1/16
Granite Bay,CA,10,1/1/16
Irvine,CA,2,1/1/16
La Jolla,CA,4,1/1/16
Los Angeles,CA,6,1/1/16
Merced,CA,8,1/1/16
Napa,CA,10,1/1/16
Nevada City,CA,2,1/1/16
Newport Beach,CA,4,1/1/16
Oakland,CA,6,1/1/16
Palm Desert,CA,8,1/1/16
Palm Springs,CA,10,1/1/16
Pasadena,CA,2,1/1/16
Pomona,CA,4,1/1/16
Rancho Cucamonga,CA,6,1/1/16
Redlands,CA,8,1/1/16
San Clemente,CA,10,1/1/16
San Diego,CA,2,1/1/16
San Francisco,CA,4,1/1/16
San Luis Obispo,CA,6,1/1/16
San Rafael,CA,8,1/1/16
Santa Monica,CA,10,1/1/16
Solvang,CA,2,1/1/16
Sonoma,CA,4,1/1/16
Stockton,CA,6,1/1/16
Temecula,CA,8,1/1/16
Torrance,CA,10,1/1/16
Ventura,CA,2,1/1/16
Westminster,CA,4,1/1/16
Woodland Hills,CA,6,1/1/16
Acworth,GA,8,1/1/16
Ailey,GA,10,1/1/16
Alpharetta,GA,2,1/1/16
Atlanta,GA,4,1/1/16
Barnesville,GA,6,1/1/16
Braselton,GA,8,1/1/16
Brunswick,GA,10,1/1/16
Buford,GA,2,1/1/16
Carrollton,GA,4,1/1/16
Cartersville,GA,6,1/1/16
Clarkesville,GA,8,1/1/16
Clayton,GA,10,1/1/16
Commerce,GA,2,1/1/16
Conyers,GA,4,1/1/16
Cornelia,GA,6,1/1/16
Cumming,GA,8,1/1/16
Dallas,GA,10,1/1/16
Dawsonville,GA,2,1/1/16
Decatur,GA,4,1/1/16
Doraville,GA,6,1/1/16
Douglasville,GA,8,1/1/16
Duluth,GA,10,1/1/16
East Ellijay,GA,2,1/1/16
Ellaville,GA,4,1/1/16
Ellijay,GA,6,1/1/16
Fayetteville,GA,8,1/1/16
Franklin,GA,10,1/1/16
Gordon,GA,2,1/1/16
Gray,GA,4,1/1/16
Hiawassee,GA,6,1/1/16
Jackson,GA,8,1/1/16
Jasper,GA,10,1/1/16
Jonesboro,GA,2,1/1/16
Kennesaw,GA,4,1/1/16
LaGrange,GA,6,1/1/16
Lawrenceville,GA,8,1/1/16
Loganville,GA,10,1/1/16
Macon,GA,2,1/1/16
Marietta,GA,4,1/1/16
McCaysville,GA,6,1/1/16
McDonough,GA,8,1/1/16
Newnan,GA,10,1/1/16
Norcross,GA,2,1/1/16
Peachtree City,GA,4,1/1/16
Perry,GA,6,1/1/16
Reidsville,GA,8,1/1/16
Rock Spring,GA,10,1/1/16
Rockmart,GA,2,1/1/16
Roswell,GA,4,1/1/16
Saint Marys,GA,6,1/1/16
Savannah,GA,8,1/1/16
Sparta,GA,10,1/1/16
Springfield,GA,2,1/1/16
Statesboro,GA,4,1/1/16
Stockbridge,GA,6,1/1/16
Suwanee,GA,8,1/1/16
Tifton,GA,10,1/1/16
Valdosta,GA,2,1/1/16
Vidalia,GA,4,1/1/16
Villa Rica,GA,6,1/1/16
Watkinsville,GA,8,1/1/16
Winder,GA,10,1/1/16
Woodbury,GA,2,1/1/16
Woodstock,GA,4,1/1/16